"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE100"	"UGLT165"	100	705	"M"	"M"	0.006465	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT166"	100	705	"M"	"F"	-0.060954	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT167"	100	705	"M"	"M"	-0.05869	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT168"	100	705	"M"	"M"	-0.209366	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT169"	100	705	"M"	"F"	-0.183409	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT170"	100	705	"M"	"F"	0.142603	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT171"	100	705	"M"	"F"	-0.270777	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT172"	100	705	"M"	"M"	-0.269961	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT173"	100	705	"M"	"M"	-0.205062	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT174"	100	705	"M"	"M"	-0.187221	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT175"	100	705	"M"	"F"	-0.203807	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT177"	100	705	"M"	"F"	-0.133886	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT178"	100	705	"M"	"M"	-0.080495	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT179"	100	705	"M"	"M"	-0.343789	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"VC1"	100	303	"M"	"M"	0.205206	"22"	"0"	24725.2	13676.7722800374	230.96	59.2170604435288
"AE100"	"VC10"	100	301	"M"	"M"	0.080938	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC11"	100	301	"M"	"M"	0.314427	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
